pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,,,,,,,,,,,,"Laura Ashley Grape Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583474077,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Amethyst Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583474022,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Duck Egg Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473940,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Steel Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473650,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Iris Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583474084,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Truffle Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473575,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Sugared Grey Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473056,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Slate White Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473063,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Cranberry Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583474091,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Linen Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472752,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Blush Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473360,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sage Leaf Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473124,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Cranberry Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473391,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Gold Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473513,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Soft Silver Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473711,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Slate Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473780,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Powder Grey Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472998,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Dove Grey Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472936,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Linen Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472769,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Chalk Blue Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473254,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Amethyst White Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583474015,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sunshine Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472790,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dusk Seaspray Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473292,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Slate Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473094,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sable Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472899,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Seaspray Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473278,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Amethyst Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473322,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Soft Natural Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472844,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dove Grey White Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473605,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Truffle Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472875,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Hedge Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473131,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Sage Leaf Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473117,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Charcoal Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472974,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Amethyst White Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473315,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Duck Egg White Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473216,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Natural Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472851,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Fern Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Grey Green Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473193,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Twine Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472837,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Slate Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473087,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Slate Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473070,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pure White Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472707,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Grape Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473377,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Charcoal Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pearl Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472745,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sugared Grey Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473049,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Iris Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473384,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Blush Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473353,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Twine Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473537,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Mid Seaspray Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473308,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Gold Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472806,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale French Grey Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472943,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Primrose White Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472776,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Silver Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473025,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Linen Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472066,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Ivory Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472721,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dove Grey Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472929,,,,,,,,,,,,,,,,,,,,,
